Date,High,Low,Open,Close,Volume,Adj Close
10-05-2019,45,41.06000137,42,41.56999969,186322500,41.56999969
13-05-2019,39.24000168,36.08000183,38.79000092,37.09999847,79442400,37.09999847
14-05-2019,39.95999908,36.84999847,38.31000137,39.95999908,46661100,39.95999908
15-05-2019,41.88000107,38.95000076,39.36999893,41.29000092,36086100,41.29000092
16-05-2019,44.06000137,41.25,41.47999954,43,38115500,43
17-05-2019,43.29000092,41.27000046,41.97999954,41.90999985,20225700,41.90999985
20-05-2019,41.68000031,39.45999908,41.18999863,41.59000015,29222300,41.59000015
21-05-2019,42.24000168,41.25,42,41.5,10802900,41.5
22-05-2019,41.27999878,40.5,41.04999924,41.25,9089500,41.25
23-05-2019,41.09000015,40.02000046,40.79999924,40.47000122,11119900,40.47000122
24-05-2019,41.50999832,40.5,41.27999878,41.50999832,8786800,41.50999832
28-05-2019,41.79999924,40.59999847,41.70000076,40.95000076,13391600,40.95000076
29-05-2019,40.70999908,39.14699936,40.52000046,39.93999863,14060400,39.93999863
30-05-2019,40.38000107,39.5,40.06999969,39.79999924,26451900,39.79999924
31-05-2019,41.56999969,39.40999985,41.15000153,40.40999985,23209800,40.40999985
03-06-2019,41.84999847,40.24000168,40.74399948,41.25,16605300,41.25
04-06-2019,42.88000107,40.70000076,42.56000137,42.75,23432100,42.75
05-06-2019,45.65999985,42.5,42.86999893,45,28609600,45
06-06-2019,45.75,44.27999878,45,44.91999817,16403700,44.91999817
07-06-2019,45.66999817,44.13000107,44.91999817,44.15999985,12654700,44.15999985
10-06-2019,44.59000015,42.52999878,44.02000046,42.61000061,11618700,42.61000061
11-06-2019,43.65000153,41.79999924,43.22000122,42.45000076,9095000,42.45000076
12-06-2019,42.65000153,41.70999908,42.52000046,42.16999817,5958200,42.16999817
13-06-2019,44.34999847,42.79999924,43.04999924,44.31000137,10178900,44.31000137
14-06-2019,44.79999924,43.11000061,44.75,43.22999954,7902200,43.22999954
17-06-2019,44.07899857,42.93000031,43.27999878,43.77999878,6557600,43.77999878
18-06-2019,44.88999939,43.75,44.29999924,43.86000061,7313600,43.86000061
19-06-2019,45.5,43.95000076,44.45999908,44.86000061,10331500,44.86000061
20-06-2019,45.29000092,43.50999832,45.02999878,43.86000061,9567400,43.86000061
21-06-2019,44.13999939,43.38000107,43.84999847,44,4974000,44
24-06-2019,44.06999969,42.81999969,44,43.09000015,5985100,43.09000015
25-06-2019,43.79000092,42.44300079,43.27999878,43.09000015,5753300,43.09000015
26-06-2019,43.40000153,42.36000061,43.25,42.5,8109100,42.5
27-06-2019,45.29999924,43.20000076,43.34999847,45.13000107,20155100,45.13000107
28-06-2019,47.08000183,45.08000183,45.09999847,46.38000107,28657000,46.38000107
01-07-2019,47.04000092,44.06000137,46.97999954,44.27000046,17740000,44.27000046
02-07-2019,44.68000031,43.75,44.54999924,44,11881300,44
03-07-2019,44.45999908,43.79000092,44,44.22999954,3380000,44.22999954
05-07-2019,44.54999924,43.00999832,44.31000137,43.52999878,8239500,43.52999878
08-07-2019,43.84999847,42.75,43.59000015,42.95000076,9304100,42.95000076
09-07-2019,44.22999954,42.97999954,43.18000031,44.20000076,5251600,44.20000076
10-07-2019,44.79999924,43.56000137,44.47999954,43.70000076,9746500,43.70000076
11-07-2019,44.29000092,43.31000137,44.09999847,43.99000168,8050900,43.99000168
12-07-2019,44.24000168,43.38999939,44.15999985,43.99000168,8760500,43.99000168
15-07-2019,44.70000076,43.97000122,44.20000076,44.52999878,5811200,44.52999878
16-07-2019,44.97999954,44.02000046,44.59999847,44.13000107,5613300,44.13000107
17-07-2019,44.34999847,43.52000046,44.06000137,43.61999893,5854100,43.61999893
18-07-2019,43.84999847,43.18999863,43.5,43.70999908,4123600,43.70999908
19-07-2019,44.08599854,43.15999985,43.90000153,43.18000031,4021000,43.18000031
22-07-2019,43.72000122,43.00999832,43.25,43.68999863,3815300,43.68999863
23-07-2019,44.31000137,43.11000061,43.75,43.36000061,5110100,43.36000061
24-07-2019,43.86999893,43.36000061,43.36000061,43.75999832,3775700,43.75999832
25-07-2019,43.95999908,43.20999908,43.72000122,43.40000153,4412000,43.40000153
26-07-2019,44.95999908,43.38999939,43.41999817,44.52000046,7598800,44.52000046
29-07-2019,45.6269989,43.11999893,45,43.88000107,8652200,43.88000107
30-07-2019,43.74000168,42.49000168,43.70999908,42.59000015,7686300,42.59000015
31-07-2019,42.97999954,41.84000015,42.59999847,42.13999939,5970800,42.13999939
01-08-2019,42.5359993,41,42.13999939,41.31000137,7349700,41.31000137
02-08-2019,41.06000137,39.95000076,41.02999878,40.40000153,8225700,40.40000153
05-08-2019,39.41999817,38.43299866,39.34999847,39.04999924,9799300,39.04999924
06-08-2019,40.80799866,38.36000061,39.68000031,39.15000153,8570300,39.15000153
07-08-2019,39.99000168,38.31999969,39.06000137,39.70000076,8896000,39.70000076
08-08-2019,43,41.25,41.97999954,42.97000122,29610500,42.97000122
09-08-2019,40.68000031,38.70999908,39.56000137,40.04999924,35138800,40.04999924
12-08-2019,39.95000076,37,39.83000183,37,21231300,37
13-08-2019,37.45999908,36.11999893,37,36.45000076,18990600,36.45000076
14-08-2019,36.29999924,33.36000061,36,33.95999908,24481600,33.95999908
15-08-2019,34.54999924,32.91999817,34.52000046,33.22000122,13265800,33.22000122
16-08-2019,35.47999954,33.40000153,33.45999908,35.22999954,13883200,35.22999954
19-08-2019,35.79999924,34.36999893,35.52999878,34.61000061,10853100,34.61000061
20-08-2019,36.06999969,34.38999939,34.47999954,35.29000092,10760700,35.29000092
21-08-2019,35.83000183,34.75,35.5,34.90999985,7923000,34.90999985
22-08-2019,34.90999985,33.52000046,34.79999924,34,8513300,34
23-08-2019,34.22999954,33.11999893,33.65000153,33.43000031,8160600,33.43000031
26-08-2019,33.83000183,33.06000137,33.66999817,33.31000137,5662500,33.31000137
27-08-2019,34.24000168,32.97999954,33.68999863,33.11000061,6574800,33.11000061
28-08-2019,33.04999924,32.25999832,32.56000137,32.59000015,6245500,32.59000015
29-08-2019,33.29999924,32.59999847,32.90000153,32.75999832,5772200,32.75999832
30-08-2019,33.13000107,32.04000092,33,32.56999969,6628700,32.56999969
03-09-2019,32.52999878,30.66500092,32.09999847,30.70000076,12154000,30.70000076
04-09-2019,32.36000061,30.85000038,30.90999985,31.98999977,10357600,31.98999977
05-09-2019,33.02999878,32.25,32.33000183,32.50999832,7933300,32.50999832
06-09-2019,32.74000168,31.40999985,32.70999908,31.86000061,7036000,31.86000061
09-09-2019,32.38999939,31.45999908,32.04999924,32.24000168,7448400,32.24000168
10-09-2019,33.74000168,31.64999962,32,33.50999832,10817100,33.50999832
11-09-2019,35.13999939,33.02000046,33.38000107,34,14715800,34
12-09-2019,34.48600006,33.33000183,34.13999939,34.06999969,7734800,34.06999969
13-09-2019,34.43500137,32.93999863,34.25,33.25,9428600,33.25
16-09-2019,34.79999924,33.47000122,33.59999847,34.43000031,7942600,34.43000031
17-09-2019,34.75,33.54999924,34.75,34.29000092,5561300,34.29000092
18-09-2019,34.88999939,33.75,34.34999847,34.25999832,6608300,34.25999832
19-09-2019,34.63999939,33.68000031,34.20000076,33.81999969,6869600,33.81999969
20-09-2019,34.21699905,32.5,33.97999954,32.59999847,11935400,32.59999847
23-09-2019,33.00999832,32.06000137,32.52000046,33,5513000,33
24-09-2019,33.14500046,31.01000023,33,31.29999924,10579900,31.29999924
25-09-2019,31.71999931,30.76000023,31.27000046,31.68000031,7875000,31.68000031
26-09-2019,32.13000107,31.12999916,31.71999931,31.56999969,6058700,31.56999969
27-09-2019,31.89999962,30.12999916,31.70999908,30.29000092,11846700,30.29000092
30-09-2019,30.73500061,30.17000008,30.39999962,30.46999931,4986600,30.46999931
01-10-2019,30.51000023,28.64999962,30.37000084,29.14999962,13380200,29.14999962
02-10-2019,29.54999924,28.30999947,28.67000008,29,8782400,29
03-10-2019,29.87999916,28.52000046,28.96999931,29.71999931,9412000,29.71999931
04-10-2019,30.18000031,28.89999962,29.89999962,29.67000008,8597700,29.67000008
07-10-2019,30.75,29.82999992,30.60000038,30.37000084,10083800,30.37000084
08-10-2019,30.14999962,29.17000008,30.01000023,29.28000069,7769100,29.28000069
09-10-2019,29.62000084,28.80999947,29.62000084,29.06999969,7112900,29.06999969
10-10-2019,29.28000069,28.57999992,29.20999908,28.87000084,7716300,28.87000084
11-10-2019,30.39999962,28.94000053,28.95000076,30.12999916,10216900,30.12999916
14-10-2019,31.54000092,29.81900024,30.21999931,31.12000084,7945400,31.12000084
15-10-2019,32.16999817,31.19499969,31.20000076,32,7843800,32
16-10-2019,32.38000107,31.43799973,31.79999924,31.87000084,7781600,31.87000084
17-10-2019,32.93000031,31.45000076,31.79999924,32.61999893,7200800,32.61999893
18-10-2019,32.65999985,31.27000046,32.54999924,32.06000137,7844500,32.06000137
21-10-2019,32.28300095,31.18499947,31.95000076,31.40999985,7203400,31.40999985
22-10-2019,33.88999939,30.21999931,31.40999985,32.52999878,19214800,32.52999878
23-10-2019,33.27000046,32.16999817,32.86999893,33.04999924,6709800,33.04999924
24-10-2019,33.41999817,32.50999832,33,33.27999878,6729300,33.27999878
25-10-2019,33.47999954,32.61000061,33.20000076,32.70999908,8077300,32.70999908
28-10-2019,33.35499954,32.5,32.90000153,33.22000122,7532800,33.22000122
29-10-2019,32.91999817,31.81500053,32.36999893,32.41999817,9319200,32.41999817
30-10-2019,33.79999924,32.11000061,32.50999832,33.75,10732700,33.75
31-10-2019,33.36000061,31.26000023,33.22999954,31.5,15912400,31.5
01-11-2019,31.70000076,30.74099922,31.45000076,31.37000084,10434300,31.37000084
04-11-2019,31.75,30.12000084,31.45000076,31.07999992,28787400,31.07999992
05-11-2019,29.29999924,27.96999931,29.12999916,28.02000046,51963500,28.02000046
06-11-2019,27.54999924,25.57999992,26.05999947,26.94000053,130965700,26.94000053
07-11-2019,27.42000008,26.45000076,26.79999924,27.37999916,65861400,27.37999916
08-11-2019,27.62000084,26.91500092,27.47999954,27.01000023,44923600,27.01000023
11-11-2019,27.20999908,26.22999954,27.03000069,27.13999939,41138100,27.13999939
12-11-2019,27.65999985,26.65999985,27.37999916,26.70000076,37095400,26.70000076
13-11-2019,26.81999969,26.13999939,26.46999931,26.70999908,32678300,26.70999908
14-11-2019,26.86000061,25.66500092,26.79999924,25.98999977,27893900,25.98999977
15-11-2019,26.79999924,25.95499992,26.18000031,26.79000092,41236200,26.79000092
18-11-2019,27,26.29999924,26.79999924,26.75,35916100,26.75
19-11-2019,27.21999931,26.61000061,26.77000046,27.04999924,31793500,27.04999924
20-11-2019,28.39999962,26.94499969,27.05999947,28.03000069,52746600,28.03000069
21-11-2019,29.60000038,28.5,28.67000008,29.45999908,54551400,29.45999908
22-11-2019,30.12999916,29.20999908,29.84000015,29.55999947,42302900,29.55999947
25-11-2019,29.60000038,28.37999916,28.69000053,29.11000061,36967500,29.11000061
26-11-2019,30.14999962,29.36000061,29.48999977,29.53000069,28746600,29.53000069
27-11-2019,29.59000015,28.87999916,29.42000008,29.48999977,22421400,29.48999977
29-11-2019,29.85000038,29.25,29.40999985,29.60000038,8115100,29.60000038
02-12-2019,29.52499962,28.70000076,29.31999969,28.97999954,16927100,28.97999954
03-12-2019,29.32999992,28.14999962,28.20000076,29.02000046,25252400,29.02000046
04-12-2019,29.20000076,28.70000076,29.10000038,29.05999947,22517600,29.05999947
05-12-2019,28.98999977,28.18000031,28.94000053,28.64999962,22504300,28.64999962
06-12-2019,28.92499924,27.79999924,28.39999962,27.86000061,32816100,27.86000061
09-12-2019,28.36000061,27.68000031,27.95999908,27.68000031,20977300,27.68000031
10-12-2019,27.99300003,27.60499954,27.72999954,27.88999939,23602700,27.88999939
11-12-2019,28.54500008,27.85000038,27.98999977,28.42000008,23281700,28.42000008
12-12-2019,28.75,28.19000053,28.29000092,28.69000053,23569900,28.69000053
13-12-2019,28.84000015,28.27000046,28.57999992,28.48999977,25431600,28.48999977
16-12-2019,30.12999916,29.10000038,29.11000061,30.04999924,57382500,30.04999924
17-12-2019,30.42000008,29.53000069,30.37000084,29.75,38250700,29.75
18-12-2019,30.13999939,29.34000015,29.62000084,30.12999916,35375100,30.12999916
19-12-2019,30.17000008,29.53000069,29.84000015,29.98999977,33799700,29.98999977
20-12-2019,31.03000069,29.85000038,30.10000038,30.45000076,95455100,30.45000076
23-12-2019,30.94000053,29.82999992,30.48999977,30.32999992,31209100,30.32999992
24-12-2019,30.84000015,30.11000061,30.32999992,30.44000053,12938600,30.44000053
26-12-2019,30.79000092,30.03000069,30.46999931,30.67000008,22200800,30.67000008
27-12-2019,31.05999947,30.17000008,30.79999924,30.17000008,18462200,30.17000008
30-12-2019,30.20000076,29.35000038,30.12999916,29.73999977,18805900,29.73999977
31-12-2019,29.95000076,28.89999962,29.11000061,29.73999977,16228400,29.73999977
02-01-2020,31,29.79000092,29.94000053,30.98999977,20578900,30.98999977
03-01-2020,31.43000031,30.47999954,30.62000084,31.37000084,18822700,31.37000084
06-01-2020,32.06000137,31,31.01000023,31.57999992,21204700,31.57999992
07-01-2020,32.84000015,31.36000061,31.79000092,32.81000137,30119600,32.81000137
08-01-2020,34.52000046,32.45999908,32.72999954,33.93000031,43944400,33.93000031
09-01-2020,34.47000122,33.22000122,34.45000076,33.97000122,29385500,33.97000122
10-01-2020,34.99000168,33.83499908,34.08000183,34.00999832,34266400,34.00999832
13-01-2020,34.34000015,33.54999924,34.29000092,34.13999939,16915800,34.13999939
14-01-2020,35.02000046,33.91999817,34.20000076,34.84000015,26019000,34.84000015
15-01-2020,35.14899826,34.50999832,34.90000153,35.00999832,20762200,35.00999832
16-01-2020,35.06000137,34.18000031,35.02999878,34.68000031,21947800,34.68000031
17-01-2020,35.25,34.65000153,34.97000122,35.13000107,17251200,35.13000107
21-01-2020,37.79999924,35.40999985,35.5,37.59999847,48746700,37.59999847
22-01-2020,37.93999863,36.91999817,37.93999863,37.04000092,29765200,37.04000092
23-01-2020,37.95000076,36.72499847,36.97000122,37.40000153,21366000,37.40000153
24-01-2020,37.66500092,36.25,37.5,36.79999924,21598000,36.79999924
27-01-2020,36.65000153,34.18999863,35.22999954,36.29999924,18818000,36.29999924
28-01-2020,37.33000183,36.04000092,37.13999939,37.00999832,28974000,37.00999832
29-01-2020,37.56499863,36.79999924,36.97999954,36.99000168,16863000,36.99000168
30-01-2020,37.13199997,35.95000076,36.81999969,36.68000031,22847000,36.68000031
31-01-2020,37.04000092,35.68999863,37,36.29000092,21553700,36.29000092
03-02-2020,37.63999939,36.52999878,36.75,37.59000015,23537300,37.59000015
04-02-2020,38.99000168,37.25999832,37.86999893,38.52999878,32425900,38.52999878
05-02-2020,38.97000122,36.73500061,38.88999939,36.81000137,38413300,36.81000137
06-02-2020,37.38999939,36.72999954,37.29999924,37.09000015,52699300,37.09000015
07-02-2020,41,38.86000061,39.97999954,40.63000107,112325800,40.63000107
10-02-2020,41.34000015,39.95999908,40.65000153,40.00999832,60840800,40.00999832
11-02-2020,41.46500015,40.04999924,40.25,41.27000046,33896000,41.27000046
12-02-2020,41.86000061,41.06499863,41.5,41.25,26444900,41.25
13-02-2020,41.54999924,40,40.93000031,40.09000015,23850900,40.09000015
14-02-2020,40.31000137,38.70000076,40.02000046,39.65999985,32014200,39.65999985
18-02-2020,40.27000046,39.45000076,39.49000168,40.18000031,22149300,40.18000031
19-02-2020,41.22999954,40.11500168,40.41999817,41.04999924,23287300,41.04999924
